bank,year,group,keyword,count,rel_freq,status,colname
CIMB,2018,FTOI,customer portrait,0,0.0,pypdf,FTOI__customer portrait
CIMB,2018,FTOI,digital wallet,0,0.0,pypdf,FTOI__digital wallet
CIMB,2018,FTOI,inclusive credit,0,0.0,pypdf,FTOI__inclusive credit
CIMB,2018,FTOI,internet banking,2,1.9529533537091466e-05,pypdf,FTOI__internet banking
CIMB,2018,FTOI,lending platform,0,0.0,pypdf,FTOI__lending platform
CIMB,2018,FTOI,mobile banking,4,3.905906707418293e-05,pypdf,FTOI__mobile banking
CIMB,2018,FTOI,mobile payment,0,0.0,pypdf,FTOI__mobile payment
CIMB,2018,FTOI,online banking,7,6.835336737982013e-05,pypdf,FTOI__online banking
CIMB,2018,FTOI,online finance,0,0.0,pypdf,FTOI__online finance
CIMB,2018,FTOI,online loan,0,0.0,pypdf,FTOI__online loan
CIMB,2018,FTOI,online payment,0,0.0,pypdf,FTOI__online payment
CIMB,2018,FTOI,predictive model,0,0.0,pypdf,FTOI__predictive model
CIMB,2018,FTOI,qr code payment,0,0.0,pypdf,FTOI__qr code payment
CIMB,2019,FTII,ai,1,1.1679650544855698e-05,pypdf,FTII__ai
CIMB,2019,FTII,alliance chain,0,0.0,pypdf,FTII__alliance chain
CIMB,2019,FTII,artificial intelligence,1,1.1679650544855698e-05,pypdf,FTII__artificial intelligence
CIMB,2019,FTII,asymmetric encryption,0,0.0,pypdf,FTII__asymmetric encryption
CIMB,2019,FTII,big data,7,8.175755381398989e-05,pypdf,FTII__big data
CIMB,2019,FTII,blockchain,7,8.175755381398989e-05,pypdf,FTII__blockchain
CIMB,2019,FTII,cloud architecture,0,0.0,pypdf,FTII__cloud architecture
CIMB,2019,FTII,cloud computing,0,0.0,pypdf,FTII__cloud computing
CIMB,2019,FTII,cloud platform,0,0.0,pypdf,FTII__cloud platform
CIMB,2019,FTII,cloud service,0,0.0,pypdf,FTII__cloud service
CIMB,2019,FTII,data flow,0,0.0,pypdf,FTII__data flow
CIMB,2019,FTII,data mining,0,0.0,pypdf,FTII__data mining
CIMB,2019,FTII,data visualization,0,0.0,pypdf,FTII__data visualization
CIMB,2019,FTII,distributed ledger,0,0.0,pypdf,FTII__distributed ledger
CIMB,2019,FTII,face recognition,0,0.0,pypdf,FTII__face recognition
CIMB,2019,FTII,fingerprint recognition,0,0.0,pypdf,FTII__fingerprint recognition
CIMB,2019,FTII,voice recognition,0,0.0,pypdf,FTII__voice recognition
CIMB,2019,FTOI,anti-fraud,0,0.0,pypdf,FTOI__anti-fraud
CIMB,2019,FTOI,bank app,0,0.0,pypdf,FTOI__bank app
CIMB,2019,FTOI,credit evaluation,0,0.0,pypdf,FTOI__credit evaluation
CIMB,2019,FTOI,customer portrait,0,0.0,pypdf,FTOI__customer portrait
CIMB,2019,FTOI,digital wallet,0,0.0,pypdf,FTOI__digital wallet
CIMB,2019,FTOI,inclusive credit,0,0.0,pypdf,FTOI__inclusive credit
CIMB,2019,FTOI,internet banking,1,1.1679650544855698e-05,pypdf,FTOI__internet banking
CIMB,2019,FTOI,lending platform,0,0.0,pypdf,FTOI__lending platform
CIMB,2019,FTOI,mobile banking,6,7.007790326913419e-05,pypdf,FTOI__mobile banking
CIMB,2019,FTOI,mobile payment,0,0.0,pypdf,FTOI__mobile payment
CIMB,2019,FTOI,online banking,6,7.007790326913419e-05,pypdf,FTOI__online banking
CIMB,2019,FTOI,online finance,0,0.0,pypdf,FTOI__online finance
CIMB,2019,FTOI,online loan,0,0.0,pypdf,FTOI__online loan
CIMB,2019,FTOI,online payment,1,1.1679650544855698e-05,pypdf,FTOI__online payment
CIMB,2019,FTOI,predictive model,0,0.0,pypdf,FTOI__predictive model
CIMB,2019,FTOI,qr code payment,0,0.0,pypdf,FTOI__qr code payment
CIMB,2020,FTII,ai,3,3.9389204731956464e-05,pypdf,FTII__ai
CIMB,2020,FTII,alliance chain,0,0.0,pypdf,FTII__alliance chain
CIMB,2020,FTII,artificial intelligence,0,0.0,pypdf,FTII__artificial intelligence
